Baden-Württemberg,Bayern,Berlin,Brandenburg,Bremen,Hamburg,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz,Saarland,Sachsen,Sachsen-Anhalt,Schleswig-Holstein,Thüringen,Gesamt,Datum
28,37,3,1,2,2,12,0,2,103,2,0,1,0,2,1,196,2020-03-03
50,48,7,1,3,3,12,4,7,115,7,1,1,0,2,1,262,2020-03-04
73,70,13,1,3,5,14,4,18,181,8,1,1,0,7,1,400,2020-03-05
96,117,19,2,4,11,16,5,18,329,10,2,2,0,7,1,639,2020-03-06
170,134,28,2,4,13,17,5,19,373,13,3,4,0,8,2,795,2020-03-07
182,172,40,4,4,13,19,8,21,398,19,9,4,0,7,2,902,2020-03-08
204,256,48,6,4,17,26,10,38,484,17,6,12,,9,2,1139,2020-03-09
237,314,48,9,4,29,35,13,49,484,25,7,22,7,9,4,1.296,2020-03-10
237,314,48,9,4,29,35,13,49,484,25,7,22,7,9,4,1.296,2020-03-11
